barcode,sku,size,product_name,price_tag,cost_price,quantity,import_date,gender,season,category,brand
8300958927216,F9505-200,43/46,CREW TENNIS FULL TERRY,7.9,1.521033249,110,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958927186,F9505-300,35/38,CREW TENNIS FULL TERRY,7.9,2.0945232,27,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958926196,F9505-300,39/42,CREW TENNIS FULL TERRY,7.9,2.05496885,65,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958926202,F9505-300,43/46,CREW TENNIS FULL TERRY,7.9,1.935274181,91,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958927261,F9505-321,39/42,CREW TENNIS FULL TERRY,7.9,2.468873341,24,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958927278,F9505-321,43/46,CREW TENNIS FULL TERRY,7.9,2.468873341,24,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958852884,F9505-700,39/42,CREW TENNIS FULL TERRY,7.9,1.600195684,54,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958852891,F9505-700,43/46,CREW TENNIS FULL TERRY,7.9,1.557414283,90,5/14/2026,UNISEX,SS26,Accessories,FILA
8059003021415,F9575-200,39/42,CREW TENNIS FULL TERRY,8.9,2.73908167,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8059003021422,F9575-200,43/46,CREW TENNIS FULL TERRY,8.9,2.726179588,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8059003021446,F9575-300,39/42,CREW TENNIS FULL TERRY,8.9,2.724312182,36,5/14/2026,UNISEX,SS26,Accessories,FILA
8059003021453,F9575-300,43/46,CREW TENNIS FULL TERRY,8.9,2.727983693,36,5/14/2026,UNISEX,SS26,Accessories,FILA
8059003074886,F9575-722,35/38,CREW TENNIS FULL TERRY,8.9,2.704004136,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8059003074879,F9575-722,39/42,CREW TENNIS FULL TERRY,8.9,2.704004136,12,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958882676,F9803-200,35/38,Quarter Half Terry Socks,8.9,2.93913493,24,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958882645,F9803-300,35/38,Quarter Half Terry Socks,8.9,2.956183926,24,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958882652,F9803-300,39/42,Quarter Half Terry Socks,8.9,2.953741085,36,5/14/2026,UNISEX,SS26,Accessories,FILA
8300958882669,F9803-300,43/46,Quarter Half Terry Socks,8.9,2.968566881,48,5/14/2026,UNISEX,SS26,Accessories,FILA
8059003075074,F9910-200,27/30,JUNIOR NORMAL PLAIN SOCKS,7.9,2.351307944,12,5/14/2026,KIDS,SS26,Accessories,FILA
8059003075081,F9910-200,31/34,JUNIOR NORMAL PLAIN SOCKS,7.9,2.351307944,12,5/14/2026,KIDS,SS26,Accessories,FILA
8059003075098,F9910-200,35/38,JUNIOR NORMAL PLAIN SOCKS,7.9,2.351307944,12,5/14/2026,KIDS,SS26,Accessories,FILA
8059003075104,F9910-300,27/30,JUNIOR NORMAL PLAIN SOCKS,7.9,2.351307944,24,5/14/2026,KIDS,SS26,Accessories,FILA
8059003075111,F9910-300,31/34,JUNIOR NORMAL PLAIN SOCKS,7.9,2.351307944,24,5/14/2026,KIDS,SS26,Accessories,FILA
8059003075128,F9910-300,35/38,JUNIOR NORMAL PLAIN SOCKS,7.9,2.351307944,24,5/14/2026,KIDS,SS26,Accessories,FILA
8059003075166,F9910-736,27/30,JUNIOR NORMAL PLAIN SOCKS,7.9,2.351307944,24,5/14/2026,KIDS,SS26,Accessories,FILA
8059003075173,F9910-736,31/34,JUNIOR NORMAL PLAIN SOCKS,7.9,2.351307944,24,5/14/2026,KIDS,SS26,Accessories,FILA
8059003075197,F9910-807,27/30,JUNIOR NORMAL PLAIN SOCKS,7.9,2.351307944,24,5/14/2026,KIDS,SS26,Accessories,FILA
8059003075203,F9910-807,31/34,JUNIOR NORMAL PLAIN SOCKS,7.9,2.351307944,24,5/14/2026,KIDS,SS26,Accessories,FILA
8300958200272,FU5004-200,L,BOXER ELASTIC BAND 3CM,9.9,2.119010052,77,5/14/2026,MALE,SS26,Accessories,FILA
8300958200265,FU5004-200,M,BOXER ELASTIC BAND 3CM,9.9,2.119010052,12,5/14/2026,MALE,SS26,Accessories,FILA
8300958200289,FU5004-200,XL,BOXER ELASTIC BAND 3CM,9.9,2.119010052,73,5/14/2026,MALE,SS26,Accessories,FILA
8300958200296,FU5004-200,XXL,BOXER ELASTIC BAND 3CM,9.9,2.331503248,43,5/14/2026,MALE,SS26,Accessories,FILA
8300958203976,FU5004-200/2,L,BOXER ELASTIC BAND 3CM/2,16.9,5.643139066,12,5/14/2026,MALE,SS26,Accessories,FILA
8300958203969,FU5004-200/2,M,BOXER ELASTIC BAND 3CM/2,16.9,5.643139066,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958203983,FU5004-200/2,XL,BOXER ELASTIC BAND 3CM/2,16.9,5.643139066,12,5/14/2026,MALE,SS26,Accessories,FILA
8300958203990,FU5004-200/2,XXL,BOXER ELASTIC BAND 3CM/2,16.9,5.643139066,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958200227,FU5004-300,L,BOXER ELASTIC BAND 3CM,9.9,2.361505026,52,5/14/2026,MALE,SS26,Accessories,FILA
8300958200210,FU5004-300,M,BOXER ELASTIC BAND 3CM,9.9,2.284777743,12,5/14/2026,MALE,SS26,Accessories,FILA
8300958200234,FU5004-300,XL,BOXER ELASTIC BAND 3CM,9.9,1.941979476,58,5/14/2026,MALE,SS26,Accessories,FILA
8300958200241,FU5004-300,XXL,BOXER ELASTIC BAND 3CM,9.9,2.361505026,48,5/14/2026,MALE,SS26,Accessories,FILA
8300958200326,FU5004-321,L,BOXER ELASTIC BAND 3CM,9.9,1.822710188,11,5/14/2026,MALE,SS26,Accessories,FILA
8300958200319,FU5004-321,M,BOXER ELASTIC BAND 3CM,9.9,2.549335435,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958200333,FU5004-321,XL,BOXER ELASTIC BAND 3CM,9.9,1.625577034,17,5/14/2026,MALE,SS26,Accessories,FILA
8300958200340,FU5004-321,XXL,BOXER ELASTIC BAND 3CM,9.9,2.175653972,10,5/14/2026,MALE,SS26,Accessories,FILA
8300958204027,FU5004-321/2,L,BOXER ELASTIC BAND 3CM/2,16.9,5.643139066,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958204010,FU5004-321/2,M,BOXER ELASTIC BAND 3CM/2,16.9,5.643139066,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958204034,FU5004-321/2,XL,BOXER ELASTIC BAND 3CM/2,16.9,5.643139066,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958204041,FU5004-321/2,XXL,BOXER ELASTIC BAND 3CM/2,16.9,5.643139066,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958209824,FU5016-118,L,BOXER ELASTIC BAND 3CM,9.9,2.5,12,5/14/2026,MALE,SS26,Accessories,FILA
8300958209817,FU5016-118,M,BOXER ELASTIC BAND 3CM,9.9,2.5,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958209831,FU5016-118,XL,BOXER ELASTIC BAND 3CM,9.9,2.5,12,5/14/2026,MALE,SS26,Accessories,FILA
8300958209848,FU5016-118,XXL,BOXER ELASTIC BAND 3CM,9.9,2.5,5,5/14/2026,MALE,SS26,Accessories,FILA
8300958206182,FU5016-200,L,BOXER ELASTIC BAND 3CM,9.9,2.552482616,67,5/14/2026,MALE,SS26,Accessories,FILA
8300958206175,FU5016-200,M,BOXER ELASTIC BAND 3CM,9.9,2.562733561,34,5/14/2026,MALE,SS26,Accessories,FILA
8300958206199,FU5016-200,XL,BOXER ELASTIC BAND 3CM,9.9,2.535743541,68,5/14/2026,MALE,SS26,Accessories,FILA
8300958206205,FU5016-200,XXL,BOXER ELASTIC BAND 3CM,9.9,2.60133883,52,5/14/2026,MALE,SS26,Accessories,FILA
8300958206137,FU5016-300,L,BOXER ELASTIC BAND 3CM,9.9,2.568921035,27,5/14/2026,MALE,SS26,Accessories,FILA
8300958206120,FU5016-300,M,BOXER ELASTIC BAND 3CM,9.9,2.615787339,26,5/14/2026,MALE,SS26,Accessories,FILA
8300958206144,FU5016-300,XL,BOXER ELASTIC BAND 3CM,9.9,2.550342321,42,5/14/2026,MALE,SS26,Accessories,FILA
8300958206151,FU5016-300,XXL,BOXER ELASTIC BAND 3CM,9.9,2.5,25,5/14/2026,MALE,SS26,Accessories,FILA
8300958207943,FU5016-300/2,M,BOXER ELASTIC BAND 3CM/2,16.9,5.643139066,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958206236,FU5016-321,L,BOXER ELASTIC BAND 3CM,9.9,2.609783733,11,5/14/2026,MALE,SS26,Accessories,FILA
8300958206229,FU5016-321,M,BOXER ELASTIC BAND 3CM,9.9,2.609783733,23,5/14/2026,MALE,SS26,Accessories,FILA
8300958206243,FU5016-321,XL,BOXER ELASTIC BAND 3CM,9.9,2.609783733,15,5/14/2026,MALE,SS26,Accessories,FILA
8300958206250,FU5016-321,XXL,BOXER ELASTIC BAND 3CM,9.9,2.809977598,27,5/14/2026,MALE,SS26,Accessories,FILA
8300958206885,FU5020-300,L,FILA BOXER ELASTIC BAND 3CM,9.9,2.93913493,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958206878,FU5020-300,M,FILA BOXER ELASTIC BAND 3CM,9.9,2.93913493,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958206892,FU5020-300,XL,FILA BOXER ELASTIC BAND 3CM,9.9,2.93913493,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958206939,FU5020-321,L,FILA BOXER ELASTIC BAND 3CM,9.9,2.93913493,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958206922,FU5020-321,M,FILA BOXER ELASTIC BAND 3CM,9.9,2.93913493,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958206946,FU5020-321,XL,FILA BOXER ELASTIC BAND 3CM,9.9,2.93913493,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958206953,FU5020-321,XXL,FILA BOXER ELASTIC BAND 3CM,9.9,2.93913493,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958209572,FU5038-200,L,BRIEFS,8.9,2.704004136,12,5/14/2026,MALE,SS26,Accessories,FILA
8300958209565,FU5038-200,M,BRIEFS,8.9,2.704004136,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958209589,FU5038-200,XL,BRIEFS,8.9,2.729727661,12,5/14/2026,MALE,SS26,Accessories,FILA
8300958209596,FU5038-200,XXL,BRIEFS,8.9,2.704004136,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958209428,FU5038-300,L,BRIEFS,8.9,2.704004136,12,5/14/2026,MALE,SS26,Accessories,FILA
8300958209411,FU5038-300,M,BRIEFS,8.9,2.704004136,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958209435,FU5038-300,XL,BRIEFS,8.9,2.704004136,12,5/14/2026,MALE,SS26,Accessories,FILA
8300958209442,FU5038-300,XXL,BRIEFS,8.9,2.704004136,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958209473,FU5038-321,L,BRIEFS,8.9,2.704004136,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958209466,FU5038-321,M,BRIEFS,8.9,2.704004136,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958209480,FU5038-321,XL,BRIEFS,8.9,2.704004136,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958209497,FU5038-321,XXL,BRIEFS,8.9,2.704004136,6,5/14/2026,MALE,SS26,Accessories,FILA
8300958209794,FU5039-200,XXL,BOXER,9.9,2.93913493,6,5/14/2026,MALE,SS26,Accessories,FILA
8059003070161,FU5381-200/2,L,FILA BOXER ELASTIC BAND 3 CM/2,16.9,5.643139066,12,5/14/2026,MALE,SS26,Accessories,FILA
8059003070154,FU5381-200/2,M,FILA BOXER ELASTIC BAND 3 CM/2,16.9,5.643139066,6,5/14/2026,MALE,SS26,Accessories,FILA
8059003070178,FU5381-200/2,XL,FILA BOXER ELASTIC BAND 3 CM/2,16.9,5.643139066,12,5/14/2026,MALE,SS26,Accessories,FILA
8059003070185,FU5381-200/2,XXL,FILA BOXER ELASTIC BAND 3 CM/2,16.9,5.643139066,12,5/14/2026,MALE,SS26,Accessories,FILA
8059003070116,FU5381-321/2,L,FILA BOXER ELASTIC BAND 3 CM/2,16.9,5.643139066,12,5/14/2026,MALE,SS26,Accessories,FILA
8059003070109,FU5381-321/2,M,FILA BOXER ELASTIC BAND 3 CM/2,16.9,5.643139066,6,5/14/2026,MALE,SS26,Accessories,FILA
8059003070123,FU5381-321/2,XL,FILA BOXER ELASTIC BAND 3 CM/2,16.9,5.643139066,12,5/14/2026,MALE,SS26,Accessories,FILA
8059003070130,FU5381-321/2,XXL,FILA BOXER ELASTIC BAND 3 CM/2,16.9,5.643139066,6,5/14/2026,MALE,SS26,Accessories,FILA
